period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Durango,San Juan De Guadalupe,0.765504
2013-01-01,2013,1,2013Q1,Durango,San Juan Del Rio,2.019253
2013-01-01,2013,1,2013Q1,Durango,San Luis Del Cordero,0
2013-01-01,2013,1,2013Q1,Durango,San Pedro Del Gallo,0
2013-01-01,2013,1,2013Q1,Durango,Santa Clara,0.5149
2013-01-01,2013,1,2013Q1,Durango,Santiago Papasquiaro,5.215612
2013-01-01,2013,1,2013Q1,Durango,Suchil,0.415756
2013-01-01,2013,1,2013Q1,Durango,Tamazula,0.157419
2013-01-01,2013,1,2013Q1,Durango,Tepehuanes,2.387585
2013-01-01,2013,1,2013Q1,Durango,Tlahualilo,0.426127
2013-01-01,2013,1,2013Q1,Durango,Topia,0.11283
2013-01-01,2013,1,2013Q1,Durango,Vicente Guerrero,5.562749
2013-01-01,2013,1,2013Q1,Estado De Mexico,Acambay De Ruiz Castaneda,4.131864
2013-01-01,2013,1,2013Q1,Estado De Mexico,Acolman,0.94843
2013-01-01,2013,1,2013Q1,Estado De Mexico,Aculco,0.767875
2013-01-01,2013,1,2013Q1,Estado De Mexico,Almoloya De Alquisiras,1.295236
2013-01-01,2013,1,2013Q1,Estado De Mexico,Almoloya De Juarez,0.620955
2013-01-01,2013,1,2013Q1,Estado De Mexico,Almoloya Del Rio,0.040584
2013-01-01,2013,1,2013Q1,Estado De Mexico,Amanalco,0.05678
2013-01-01,2013,1,2013Q1,Estado De Mexico,Amatepec,2.061815
2013-01-01,2013,1,2013Q1,Estado De Mexico,Amecameca,6.387788
2013-01-01,2013,1,2013Q1,Estado De Mexico,Apaxco,0.472609
2013-01-01,2013,1,2013Q1,Estado De Mexico,Atenco,0.104409
2013-01-01,2013,1,2013Q1,Estado De Mexico,Atizapan,0.325676
2013-01-01,2013,1,2013Q1,Estado De Mexico,Atizapan De Zaragoza,8.609714
2013-01-01,2013,1,2013Q1,Estado De Mexico,Atlacomulco,7.306875
2013-01-01,2013,1,2013Q1,Estado De Mexico,Atlautla,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Axapusco,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ayapango,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Calimaya,0.062817
2013-01-01,2013,1,2013Q1,Estado De Mexico,Capulhuac,0.01359
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chalco,12.005091
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chapa De Mota,0.02796
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chapultepec,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chiautla,0.167708
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chicoloapan,3.03375
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chiconcuac,0.358489
2013-01-01,2013,1,2013Q1,Estado De Mexico,Chimalhuacan,12.75107
2013-01-01,2013,1,2013Q1,Estado De Mexico,Coacalco De Berriozabal,4.38185
2013-01-01,2013,1,2013Q1,Estado De Mexico,Coatepec Harinas,3.618804
2013-01-01,2013,1,2013Q1,Estado De Mexico,Cocotitlan,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Coyotepec,0.444649
2013-01-01,2013,1,2013Q1,Estado De Mexico,Cuautitlan,3.043882
2013-01-01,2013,1,2013Q1,Estado De Mexico,Cuautitlan Izcalli,9.383557
2013-01-01,2013,1,2013Q1,Estado De Mexico,Donato Guerra,0.228625
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ecatepec De Morelos,38.615855
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ecatzingo,0.098589
2013-01-01,2013,1,2013Q1,Estado De Mexico,El Oro,1.432776
2013-01-01,2013,1,2013Q1,Estado De Mexico,Huehuetoca,1.630251
2013-01-01,2013,1,2013Q1,Estado De Mexico,Hueypoxtla,0.039194
2013-01-01,2013,1,2013Q1,Estado De Mexico,Huixquilucan,1.986043
2013-01-01,2013,1,2013Q1,Estado De Mexico,Isidro Fabela,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ixtapaluca,8.488877
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ixtapan De La Sal,4.136253
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ixtapan Del Oro,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Ixtlahuaca,6.038835
2013-01-01,2013,1,2013Q1,Estado De Mexico,Jaltenco,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Jilotepec,3.245666
2013-01-01,2013,1,2013Q1,Estado De Mexico,Jilotzingo,0
2013-01-01,2013,1,2013Q1,Estado De Mexico,Jiquipilco,0.179758
2013-01-01,2013,1,2013Q1,Estado De Mexico,Jocotitlan,0.39492
2013-01-01,2013,1,2013Q1,Estado De Mexico,Joquicingo,0.055077
2013-01-01,2013,1,2013Q1,Estado De Mexico,Juchitepec,0.253803
2013-01-01,2013,1,2013Q1,Estado De Mexico,La Paz,5.039938
2013-01-01,2013,1,2013Q1,Estado De Mexico,Lerma,1.397145
2013-01-01,2013,1,2013Q1,Estado De Mexico,Luvianos,3.345945
2013-01-01,2013,1,2013Q1,Estado De Mexico,Malinalco,1.256414
