period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2016-04-01,2016,2,2016Q2,Oaxaca,San Pedro Mixtepec - Distr. 22 -,14.035718
2016-04-01,2016,2,2016Q2,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.361663
2016-04-01,2016,2,2016Q2,Oaxaca,Santiago Chazumba,0.389455
2016-04-01,2016,2,2016Q2,Oaxaca,Villa Hidalgo,0.389721
2016-04-01,2016,2,2016Q2,Oaxaca,Zapotitlan Del Rio,0
2016-04-01,2016,2,2016Q2,San Luis Potosi,Ahualulco,1.518007
2016-07-01,2016,3,2016Q3,Chiapas,Cintalapa,2.786148
2016-07-01,2016,3,2016Q3,Chihuahua,Rosario,0
2016-07-01,2016,3,2016Q3,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,34.140877
2016-07-01,2016,3,2016Q3,Guerrero,Apaxtla,0.726883
2016-07-01,2016,3,2016Q3,Oaxaca,Miahuatlan De Porfirio Diaz,15.689324
2016-07-01,2016,3,2016Q3,Oaxaca,San Blas Atempa,0.00306
2016-07-01,2016,3,2016Q3,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.007673
2016-07-01,2016,3,2016Q3,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2016-07-01,2016,3,2016Q3,Oaxaca,San Martin De Los Cansecos,0
2016-07-01,2016,3,2016Q3,Oaxaca,San Pedro Mixtepec - Distr. 22 -,12.52436
2016-07-01,2016,3,2016Q3,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.085369
2016-07-01,2016,3,2016Q3,Oaxaca,Santiago Chazumba,0.414772
2016-07-01,2016,3,2016Q3,Oaxaca,Villa Hidalgo,0.391223
2016-07-01,2016,3,2016Q3,Oaxaca,Zapotitlan Del Rio,0
2016-07-01,2016,3,2016Q3,San Luis Potosi,Ahualulco,1.647192
2016-10-01,2016,4,2016Q4,Chiapas,Cintalapa,2.232961
2016-10-01,2016,4,2016Q4,Chihuahua,Rosario,0
2016-10-01,2016,4,2016Q4,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,33.191131
2016-10-01,2016,4,2016Q4,Guerrero,Apaxtla,0.771408
2016-10-01,2016,4,2016Q4,Oaxaca,Miahuatlan De Porfirio Diaz,15.351963
2016-10-01,2016,4,2016Q4,Oaxaca,San Blas Atempa,0.003519
2016-10-01,2016,4,2016Q4,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.00959
2016-10-01,2016,4,2016Q4,Oaxaca,San Juan Mixtepec - Distr. 26 -,0
2016-10-01,2016,4,2016Q4,Oaxaca,San Martin De Los Cansecos,0
2016-10-01,2016,4,2016Q4,Oaxaca,San Pedro Mixtepec - Distr. 22 -,14.298282
2016-10-01,2016,4,2016Q4,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.109945
2016-10-01,2016,4,2016Q4,Oaxaca,Santiago Chazumba,0.426983
2016-10-01,2016,4,2016Q4,Oaxaca,Villa Hidalgo,0.405901
2016-10-01,2016,4,2016Q4,Oaxaca,Zapotitlan Del Rio,0
2016-10-01,2016,4,2016Q4,San Luis Potosi,Ahualulco,1.886984
2017-01-01,2017,1,2017Q1,Chiapas,Cintalapa,2.342602
2017-01-01,2017,1,2017Q1,Chihuahua,Rosario,0
2017-01-01,2017,1,2017Q1,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,33.175761
2017-01-01,2017,1,2017Q1,Guerrero,Apaxtla,0.928498
2017-01-01,2017,1,2017Q1,Oaxaca,Miahuatlan De Porfirio Diaz,15.665355
2017-01-01,2017,1,2017Q1,Oaxaca,San Blas Atempa,0.001543
2017-01-01,2017,1,2017Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.005747
