"state","municipality","year","quarter","remittances_musd","mean_intensity","event"
"Aguascalientes","Pabellón de Arteaga",2022,1,12087.821,0,NA
"Aguascalientes","Pabellón de Arteaga",2022,2,14974.205,0,NA
"Aguascalientes","Pabellón de Arteaga",2022,3,16214.217,0,"2022_M6.8_aguililla"
"Aguascalientes","Pabellón de Arteaga",2022,4,16422.008,0,NA
"Aguascalientes","Pabellón de Arteaga",2023,1,14207.9,0,NA
"Aguascalientes","Pabellón de Arteaga",2023,2,16604.16,0,NA
"Aguascalientes","Pabellón de Arteaga",2023,3,16951.639,0,NA
"Aguascalientes","Pabellón de Arteaga",2023,4,16067.993,0,NA
"Aguascalientes","Pabellón de Arteaga",2024,1,13512.366,0,NA
"Aguascalientes","Pabellón de Arteaga",2024,2,17202.165,0,NA
"Aguascalientes","Pabellón de Arteaga",2024,3,17510.913,0,NA
"Aguascalientes","Pabellón de Arteaga",2024,4,17260.615,0,NA
"Aguascalientes","Pabellón de Arteaga",2025,1,16652.861,0,NA
"Aguascalientes","Pabellón de Arteaga",2025,2,18550.972,0,NA
"Aguascalientes","Pabellón de Arteaga",2025,3,19356.95,0,NA
"Aguascalientes","Pabellón de Arteaga",2025,4,18948.185,0,NA
"Aguascalientes","Rincón de Romos",2013,1,7374.496,0,NA
"Aguascalientes","Rincón de Romos",2013,2,9282.096,0,NA
"Aguascalientes","Rincón de Romos",2013,3,9237.989,0,NA
"Aguascalientes","Rincón de Romos",2013,4,9113.302,0,NA
"Aguascalientes","Rincón de Romos",2014,1,8805.306,0,NA
"Aguascalientes","Rincón de Romos",2014,2,9581.782,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Rincón de Romos",2014,3,8967.413,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Rincón de Romos",2014,4,9004.819,0,NA
"Aguascalientes","Rincón de Romos",2015,1,8784.258,0,NA
"Aguascalientes","Rincón de Romos",2015,2,9323.874,0,NA
"Aguascalientes","Rincón de Romos",2015,3,9924.318,0,NA
"Aguascalientes","Rincón de Romos",2015,4,9434.308,0,NA
"Aguascalientes","Rincón de Romos",2016,1,9892.859,0,NA
"Aguascalientes","Rincón de Romos",2016,2,10896.771,0,NA
"Aguascalientes","Rincón de Romos",2016,3,11408.139,0,NA
"Aguascalientes","Rincón de Romos",2016,4,10681.362,0,NA
"Aguascalientes","Rincón de Romos",2017,1,10292.8,0,NA
"Aguascalientes","Rincón de Romos",2017,2,11627.605,0,NA
"Aguascalientes","Rincón de Romos",2017,3,12003.491,0,"2017_M7.1_matzaco"
"Aguascalientes","Rincón de Romos",2017,4,12007.249,0,NA
"Aguascalientes","Rincón de Romos",2018,1,10332.698,0,"2018_M7.2_pinotepa"
"Aguascalientes","Rincón de Romos",2018,2,13181.301,0,NA
"Aguascalientes","Rincón de Romos",2018,3,12939.651,0,NA
"Aguascalientes","Rincón de Romos",2018,4,13631.213,0,NA
"Aguascalientes","Rincón de Romos",2019,1,11350.661,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Rincón de Romos",2019,2,12967.442,0,NA
"Aguascalientes","Rincón de Romos",2019,3,13802.83,0,NA
"Aguascalientes","Rincón de Romos",2019,4,13030.314,0,NA
"Aguascalientes","Rincón de Romos",2020,1,13034.589,0,NA
"Aguascalientes","Rincón de Romos",2020,2,14081.961,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Rincón de Romos",2020,3,13434.288,0,NA
"Aguascalientes","Rincón de Romos",2020,4,14684.207,0,NA
"Aguascalientes","Rincón de Romos",2021,1,13717.025,0,NA
"Aguascalientes","Rincón de Romos",2021,2,17909.175,0,NA
"Aguascalientes","Rincón de Romos",2021,3,18673.393,0,"2021_M7.0_acapulco"
"Aguascalientes","Rincón de Romos",2021,4,19162.765,0,NA
"Aguascalientes","Rincón de Romos",2022,1,16419.201,0,NA
"Aguascalientes","Rincón de Romos",2022,2,19486.103,0,NA
"Aguascalientes","Rincón de Romos",2022,3,21607.357,0,"2022_M6.8_aguililla"
"Aguascalientes","Rincón de Romos",2022,4,21586.665,0,NA
"Aguascalientes","Rincón de Romos",2023,1,18220.359,0,NA
"Aguascalientes","Rincón de Romos",2023,2,22219.51,0,NA
"Aguascalientes","Rincón de Romos",2023,3,24228.787,0,NA
"Aguascalientes","Rincón de Romos",2023,4,23331.768,0,NA
"Aguascalientes","Rincón de Romos",2024,1,19008.549,0,NA
"Aguascalientes","Rincón de Romos",2024,2,23884.469,0,NA
"Aguascalientes","Rincón de Romos",2024,3,25305.089,0,NA
"Aguascalientes","Rincón de Romos",2024,4,23011.979,0,NA
"Aguascalientes","Rincón de Romos",2025,1,20395.622,0,NA
"Aguascalientes","Rincón de Romos",2025,2,22527.579,0,NA
"Aguascalientes","Rincón de Romos",2025,3,24005.927,0,NA
"Aguascalientes","Rincón de Romos",2025,4,22532.642,0,NA
"Aguascalientes","San Francisco de los Romo",2013,1,1746.87,0,NA
"Aguascalientes","San Francisco de los Romo",2013,2,1964.945,0,NA
"Aguascalientes","San Francisco de los Romo",2013,3,1899.378,0,NA
