state,municipality,matched_quarters,total_quarters,fully_matched
Durango,Peñón Blanco,48,48,TRUE
Durango,Poanas,48,48,TRUE
Durango,Pueblo Nuevo,48,48,TRUE
Durango,Pánuco de Coronado,48,48,TRUE
Durango,Rodeo,48,48,TRUE
Durango,San Bernardo,48,48,TRUE
Durango,San Dimas,48,48,TRUE
Durango,San Juan de Guadalupe,48,48,TRUE
Durango,San Juan del Río,48,48,TRUE
Durango,San Luis del Cordero,48,48,TRUE
Durango,San Pedro del Gallo,48,48,TRUE
Durango,Santa Clara,48,48,TRUE
Durango,Santiago Papasquiaro,48,48,TRUE
Durango,Súchil,48,48,TRUE
Durango,Tamazula,48,48,TRUE
Durango,Tepehuanes,48,48,TRUE
Durango,Tlahualilo,48,48,TRUE
Durango,Topia,48,48,TRUE
Durango,Vicente Guerrero,48,48,TRUE
Guanajuato,Abasolo,48,48,TRUE
Guanajuato,Acámbaro,48,48,TRUE
Guanajuato,Apaseo el Alto,48,48,TRUE
Guanajuato,Apaseo el Grande,48,48,TRUE
Guanajuato,Atarjea,48,48,TRUE
Guanajuato,Celaya,48,48,TRUE
Guanajuato,Comonfort,48,48,TRUE
Guanajuato,Coroneo,48,48,TRUE
Guanajuato,Cortazar,48,48,TRUE
Guanajuato,Cuerámaro,48,48,TRUE
Guanajuato,Doctor Mora,48,48,TRUE
Guanajuato,Guanajuato,48,48,TRUE
Guanajuato,Huanímaro,48,48,TRUE
Guanajuato,Irapuato,48,48,TRUE
Guanajuato,Jaral del Progreso,48,48,TRUE
Guanajuato,Jerécuaro,48,48,TRUE
Guanajuato,León,48,48,TRUE
Guanajuato,Manuel Doblado,48,48,TRUE
Guanajuato,Moroleón,48,48,TRUE
Guanajuato,Ocampo,48,48,TRUE
Guanajuato,Pueblo Nuevo,48,48,TRUE
Guanajuato,Purísima del Rincón,48,48,TRUE
Guanajuato,Pénjamo,48,48,TRUE
Guanajuato,Romita,48,48,TRUE
Guanajuato,Salamanca,48,48,TRUE
Guanajuato,Salvatierra,48,48,TRUE
Guanajuato,San Diego de la Unión,48,48,TRUE
Guanajuato,San Felipe,48,48,TRUE
Guanajuato,San Francisco del Rincón,48,48,TRUE
Guanajuato,San José Iturbide,48,48,TRUE
Guanajuato,San Luis de la Paz,48,48,TRUE
Guanajuato,San Miguel de Allende,48,48,TRUE
Guanajuato,Santa Catarina,48,48,TRUE
Guanajuato,Santa Cruz de Juventino Rosas,48,48,TRUE
Guanajuato,Santiago Maravatío,48,48,TRUE
Guanajuato,Silao de la Victoria,48,48,TRUE
Guanajuato,Tarandacuao,48,48,TRUE
Guanajuato,Tarimoro,48,48,TRUE
Guanajuato,Tierra Blanca,48,48,TRUE
Guanajuato,Uriangato,48,48,TRUE
Guanajuato,Valle de Santiago,48,48,TRUE
Guanajuato,Victoria,48,48,TRUE
Guanajuato,Villagrán,48,48,TRUE
Guanajuato,Xichú,48,48,TRUE
Guanajuato,Yuriria,48,48,TRUE
Guerrero,Acapulco de Juárez,48,48,TRUE
Guerrero,Acatepec,48,48,TRUE
Guerrero,Ahuacuotzingo,48,48,TRUE
Guerrero,Ajuchitlán del Progreso,48,48,TRUE
Guerrero,Alcozauca de Guerrero,48,48,TRUE
Guerrero,Alpoyeca,48,48,TRUE
Guerrero,Arcelia,48,48,TRUE
Guerrero,Atenango del Río,48,48,TRUE
Guerrero,Atlamajalcingo del Monte,48,48,TRUE
Guerrero,Atlixtac,48,48,TRUE
Guerrero,Atoyac de Álvarez,48,48,TRUE
Guerrero,Ayutla de los Libres,48,48,TRUE
Guerrero,Azoyú,48,48,TRUE
Guerrero,Benito Juárez,48,48,TRUE
Guerrero,Buenavista de Cuéllar,48,48,TRUE
Guerrero,Chilapa de Álvarez,48,48,TRUE
Guerrero,Chilpancingo de los Bravo,48,48,TRUE
Guerrero,Coahuayutla de José María Izazaga,48,48,TRUE
Guerrero,Cochoapa el Grande,48,48,TRUE
Guerrero,Cocula,48,48,TRUE
Guerrero,Copala,48,48,TRUE
Guerrero,Copalillo,48,48,TRUE
Guerrero,Copanatoyac,48,48,TRUE
Guerrero,Coyuca de Benítez,48,48,TRUE
Guerrero,Coyuca de Catalán,48,48,TRUE
Guerrero,Cuajinicuilapa,48,48,TRUE
Guerrero,Cualác,48,48,TRUE
Guerrero,Cuautepec,48,48,TRUE
Guerrero,Cuetzala del Progreso,48,48,TRUE
Guerrero,Cutzamala de Pinzón,48,48,TRUE
Guerrero,Eduardo Neri,48,48,TRUE
Guerrero,Florencio Villarreal,48,48,TRUE
Guerrero,General Canuto A. Neri,48,48,TRUE
Guerrero,General Heliodoro Castillo,48,48,TRUE
Guerrero,Huamuxtitlán,48,48,TRUE
Guerrero,Huitzuco de los Figueroa,48,48,TRUE
Guerrero,Iguala de la Independencia,48,48,TRUE
Guerrero,Igualapa,48,48,TRUE
Guerrero,Iliatenco,48,48,TRUE
Guerrero,Ixcateopan de Cuauhtémoc,48,48,TRUE
Guerrero,José Joaquín de Herrera,48,48,TRUE
Guerrero,Juan R. Escudero,48,48,TRUE
Guerrero,Juchitán,48,48,TRUE
Guerrero,La Unión de Isidoro Montes de Oca,48,48,TRUE
Guerrero,Leonardo Bravo,48,48,TRUE
Guerrero,Malinaltepec,48,48,TRUE
Guerrero,Marquelia,48,48,TRUE
Guerrero,Metlatónoc,48,48,TRUE
Guerrero,Mochitlán,48,48,TRUE
Guerrero,Mártir de Cuilapan,48,48,TRUE
Guerrero,Olinalá,48,48,TRUE
Guerrero,Ometepec,48,48,TRUE
Guerrero,Pedro Ascencio Alquisiras,48,48,TRUE
Guerrero,Petatlán,48,48,TRUE
Guerrero,Pilcaya,48,48,TRUE
Guerrero,Pungarabato,48,48,TRUE
Guerrero,Quechultenango,48,48,TRUE
Guerrero,San Luis Acatlán,48,48,TRUE
Guerrero,San Marcos,48,48,TRUE
Guerrero,San Miguel Totolapan,48,48,TRUE
Guerrero,Taxco de Alarcón,48,48,TRUE
Guerrero,Tecoanapa,48,48,TRUE
Guerrero,Teloloapan,48,48,TRUE
Guerrero,Tepecoacuilco de Trujano,48,48,TRUE
Guerrero,Tetipac,48,48,TRUE
Guerrero,Tixtla de Guerrero,48,48,TRUE
Guerrero,Tlacoachistlahuaca,48,48,TRUE
Guerrero,Tlacoapa,48,48,TRUE
Guerrero,Tlalchapa,48,48,TRUE
Guerrero,Tlalixtaquilla de Maldonado,48,48,TRUE
Guerrero,Tlapa de Comonfort,48,48,TRUE
Guerrero,Tlapehuala,48,48,TRUE
Guerrero,Técpan de Galeana,48,48,TRUE
Guerrero,Xalpatláhuac,48,48,TRUE
Guerrero,Xochihuehuetlán,48,48,TRUE
Guerrero,Xochistlahuaca,48,48,TRUE
Guerrero,Zapotitlán Tablas,48,48,TRUE
Guerrero,Zirándaro,48,48,TRUE
Guerrero,Zitlala,48,48,TRUE
Hidalgo,Acatlán,48,48,TRUE
Hidalgo,Acaxochitlán,48,48,TRUE
Hidalgo,Actopan,48,48,TRUE
Hidalgo,Agua Blanca de Iturbide,48,48,TRUE
Hidalgo,Ajacuba,48,48,TRUE
Hidalgo,Alfajayucan,48,48,TRUE
Hidalgo,Almoloya,48,48,TRUE
Hidalgo,Apan,48,48,TRUE
Hidalgo,Atitalaquia,48,48,TRUE
Hidalgo,Atlapexco,48,48,TRUE
Hidalgo,Atotonilco de Tula,48,48,TRUE
Hidalgo,Atotonilco el Grande,48,48,TRUE
Hidalgo,Calnali,48,48,TRUE
Hidalgo,Cardonal,48,48,TRUE
Hidalgo,Chapantongo,48,48,TRUE
Hidalgo,Chapulhuacán,48,48,TRUE
Hidalgo,Chilcuautla,48,48,TRUE
Hidalgo,Cuautepec de Hinojosa,48,48,TRUE
Hidalgo,El Arenal,48,48,TRUE
Hidalgo,Eloxochitlán,48,48,TRUE
Hidalgo,Emiliano Zapata,48,48,TRUE
Hidalgo,Epazoyucan,48,48,TRUE
Hidalgo,Francisco I. Madero,48,48,TRUE
Hidalgo,Huasca de Ocampo,48,48,TRUE
Hidalgo,Huautla,48,48,TRUE
Hidalgo,Huazalingo,48,48,TRUE
Hidalgo,Huehuetla,48,48,TRUE
Hidalgo,Huejutla de Reyes,48,48,TRUE
Hidalgo,Huichapan,48,48,TRUE
Hidalgo,Ixmiquilpan,48,48,TRUE
Hidalgo,Jacala de Ledezma,48,48,TRUE
Hidalgo,Jaltocán,48,48,TRUE
Hidalgo,Juárez Hidalgo,48,48,TRUE
Hidalgo,La Misión,48,48,TRUE
Hidalgo,Lolotla,48,48,TRUE
Hidalgo,Metepec,48,48,TRUE
Hidalgo,Metztitlán,48,48,TRUE
Hidalgo,Mineral de la Reforma,48,48,TRUE
Hidalgo,Mineral del Chico,48,48,TRUE
Hidalgo,Mineral del Monte,48,48,TRUE
Hidalgo,Mixquiahuala de Juárez,48,48,TRUE
Hidalgo,Molango de Escamilla,48,48,TRUE
Hidalgo,Nicolás Flores,48,48,TRUE
Hidalgo,Nopala de Villagrán,48,48,TRUE
Hidalgo,Omitlán de Juárez,48,48,TRUE
Hidalgo,Pachuca de Soto,48,48,TRUE
Hidalgo,Pacula,48,48,TRUE
Hidalgo,Pisaflores,48,48,TRUE
Hidalgo,Progreso de Obregón,48,48,TRUE
Hidalgo,San Agustín Metzquititlán,48,48,TRUE
Hidalgo,San Agustín Tlaxiaca,48,48,TRUE
Hidalgo,San Bartolo Tutotepec,48,48,TRUE
Hidalgo,San Felipe Orizatlán,48,48,TRUE
Hidalgo,San Salvador,48,48,TRUE
Hidalgo,Santiago Tulantepec de Lugo Guerrero,48,48,TRUE
Hidalgo,Santiago de Anaya,48,48,TRUE
Hidalgo,Singuilucan,48,48,TRUE
Hidalgo,Tasquillo,48,48,TRUE
Hidalgo,Tecozautla,48,48,TRUE
Hidalgo,Tenango de Doria,48,48,TRUE
Hidalgo,Tepeapulco,48,48,TRUE
Hidalgo,Tepehuacán de Guerrero,48,48,TRUE
Hidalgo,Tepeji del Río de Ocampo,48,48,TRUE
Hidalgo,Tepetitlán,48,48,TRUE
Hidalgo,Tetepango,48,48,TRUE
Hidalgo,Tezontepec de Aldama,48,48,TRUE
Hidalgo,Tianguistengo,48,48,TRUE
Hidalgo,Tizayuca,48,48,TRUE
Hidalgo,Tlahuelilpan,48,48,TRUE
Hidalgo,Tlahuiltepa,48,48,TRUE
Hidalgo,Tlanalapa,48,48,TRUE
Hidalgo,Tlanchinol,48,48,TRUE
Hidalgo,Tlaxcoapan,48,48,TRUE
Hidalgo,Tolcayuca,48,48,TRUE
Hidalgo,Tula de Allende,48,48,TRUE
Hidalgo,Tulancingo de Bravo,48,48,TRUE
Hidalgo,Villa de Tezontepec,48,48,TRUE
Hidalgo,Xochiatipan,48,48,TRUE
Hidalgo,Xochicoatlán,48,48,TRUE
Hidalgo,Yahualica,48,48,TRUE
Hidalgo,Zacualtipán de Ángeles,48,48,TRUE
Hidalgo,Zapotlán de Juárez,48,48,TRUE
Hidalgo,Zempoala,48,48,TRUE
Hidalgo,Zimapán,48,48,TRUE
Jalisco,Acatic,48,48,TRUE
Jalisco,Acatlán de Juárez,48,48,TRUE
Jalisco,Ahualulco de Mercado,48,48,TRUE
Jalisco,Amacueca,48,48,TRUE
Jalisco,Amatitán,48,48,TRUE
Jalisco,Ameca,48,48,TRUE
Jalisco,Arandas,48,48,TRUE
Jalisco,Atemajac de Brizuela,48,48,TRUE
Jalisco,Atengo,48,48,TRUE
Jalisco,Atenguillo,48,48,TRUE
Jalisco,Atotonilco el Alto,48,48,TRUE
